"Settlement.id","long","lat","Name","Metric...System","Demographics...Projected.household.count","Demand..household....Target.household.count","Demand...Projected.nodal.demand.per.year","System..grid....Transformer.cost","Demographics...Population.count","Demographics...Projected.population.count","order","piece","group","id","fake.node","root","branch","dist","MV.line.per.kwh","near.sighted.sequence","depth","Total.Downstream.Demand.kWh","Total.Downstream.Network.Extent.m","Selection.Criteria","far.sighted.sequence"
"984",129.978582999999,-3.432484,810703000701,"grid",49,49,50274,6000,161,161,1,"1","263.1","263",FALSE,458,"458",13.3626489479969,0.000265796414607888,33,0,50274,13.3626489479969,0.000265796414607888,32
"265",128.184543999999,-3.6563,817103100507,"grid",68,68,69768,7000,336,336,1,"1","284.1","284",FALSE,155,"155",18.5915990960901,0.000266477455224316,34,0,69768,18.5915990960901,0.000266477455224316,33
"482",128.121603999999,-3.777894,817101000103,"grid",35,35,35910,3000,140,140,1,"1","247.1","247",FALSE,106,"106",9.59552721701455,0.000267210448816891,35,0,35910,9.59552721701455,0.000267210448816891,34
"411",128.949307,-3.303874,810305100301,"grid",637,637,653562,43000,2678,2678,1,"1","559.1","559",FALSE,365,"365",184.64739434661,0.000282524679137725,36,0,653562,184.64739434661,0.000282524679137725,35
"303",128.091962,-3.585373,810311001104,"grid",6,6,6156,3000,24,24,1,"1","208.1","208",FALSE,86,"86",1.78367511048745,0.000289745794426161,37,0,6156,1.78367511048745,0.000289745794426161,36
"848",129.319031,-3.412596,810304000203,"grid",49,49,50274,6000,237,237,1,"1","270.1","270",FALSE,412,"412",14.6987544211626,0.000292372885013379,38,0,50274,14.6987544211626,0.000292372885013379,37
"18",128.208239999999,-3.634406,817103100803,"grid",6,6,6156,3000,24,24,1,"1","209.1","209",FALSE,196,"196",1.82611978368087,0.000296640640623924,39,0,6156,1.82611978368087,0.000296640640623924,38
"900",128.059516,-3.589939,810311001002,"grid",64,64,65664,7000,288,288,1,"1","289.1","289",FALSE,68,"68",19.6133049219372,0.000298691900005135,40,0,65664,19.6133049219372,0.000298691900005135,39
"452",128.962034999999,-3.297658,810305100201,"grid",496,496,508896,35000,2244,2244,1,"1","547.1","547",FALSE,367,"367",152.428875176382,0.000299528538594098,41,0,508896,152.428875176382,0.000299528538594098,40
"96",128.175472,-3.701268,817101001201,"grid",89,89,91314,7000,345,345,1,"1","325.1","325",FALSE,144,"144",27.7526693742621,0.000303925678146419,42,0,91314,27.7526693742621,0.000303925678146419,41
"835",128.226201,-3.741764,817102100201,"grid",47,47,48222,6000,188,188,1,"1","272.1","272",FALSE,213,"213",14.9998006224667,0.000311057206720308,43,0,48222,14.9998006224667,0.000311057206720308,42
"286",128.703207999999,-2.862795,810604100401,"grid",10,10,10260,3000,43,43,1,"1","217.1","217",FALSE,335,"335",3.34706359252404,0.000326224521688502,44,0,10260,3.34706359252404,0.000326224521688502,43
"943",128.471320999999,-3.519157,810309000704,"grid",266,266,272916,19000,1193,1193,1,"1","474.1","474",FALSE,291,"291",92.2848724252073,0.000338143870001053,45,0,272916,92.2848724252073,0.000338143870001053,44
"582",128.132965,-3.772508,817101000302,"grid",39,39,40014,3000,158,158,1,"1","265.1","265",FALSE,121,"121",13.5741091057234,0.000339233995744574,46,0,40014,13.5741091057234,0.000339233995744574,45
"749",128.511832,-3.604806,810309000401,"grid",172,172,176472,13000,568,568,1,"1","415.1","415",FALSE,301,"301",60.602211933115,0.000343409787009356,47,0,176472,60.602211933115,0.000343409787009356,46
"928",128.197892999999,-3.706702,817102000606,"grid",93,93,95418,9000,456,456,1,"1","344.1","344",FALSE,187,"187",33.162243954696,0.000347547045156009,48,0,95418,33.162243954696,0.000347547045156009,47
"911",128.180410999999,-3.703385,817101001101,"grid",47,47,48222,6000,203,203,1,"1","277.1","277",FALSE,150,"150",17.3508652210288,0.000359812227220539,49,0,48222,17.3508652210288,0.000359812227220539,48
"1080",129.867934999999,-3.335852,810703100101,"grid",71,71,72846,7000,282,282,1,"1","316.1","316",FALSE,434,"434",26.5837898917681,0.000364931360565688,50,0,72846,26.5837898917681,0.000364931360565688,49
"668",127.016091,-3.302591,810402101903,"grid",29,29,29754,3000,112,112,1,"1","253.1","253",FALSE,17,"17",11.0472394767277,0.000371285859942453,51,0,29754,11.0472394767277,0.000371285859942453,50
"925",128.416462,-3.535289,810309000802,"grid",315,315,323190,23000,1241,1241,1,"1","523.1","523",FALSE,278,"278",124.354202215262,0.000384771194081692,52,0,323190,124.354202215262,0.000384771194081692,51
"897",128.185150999999,-3.68903,817102001401,"grid",350,350,359100,26000,1532,1532,1,"1","541.1","541",FALSE,159,"159",140.543552818018,0.000391377200829903,53,0,359100,140.543552818018,0.000391377200829903,52
